district,area,perch,bedrooms,bathrooms,kitchen_area_sqft,parking_spots,has_garden,has_ac,water_supply,electricity,floors,year_built,price_lkr
Puttalam,Puttalam Central,22,5,4,231,1,TRUE,FALSE,Well,Three phase,2,2003,26446168
Gampaha,Negombo,14,4,3,136,3,FALSE,TRUE,Pipe-borne,Three phase,1,2023,32245807
Kandy,Kandy City,23,4,3,197,1,TRUE,TRUE,Both,Single phase,2,2005,42566942
Kandy,Peradeniya,10,3,2,86,0,TRUE,TRUE,Pipe-borne,Three phase,2,2007,15722619
Hambantota,Hambantota Town,15,5,5,126,1,TRUE,TRUE,Both,Three phase,2,2019,20494260
Matara,Matara Town,9,2,1,76,0,FALSE,TRUE,Both,Three phase,1,1987,8903831
Colombo,Kollupitiya,3,2,1,53,0,TRUE,FALSE,Both,Single phase,1,2018,10840395
Nuwara Eliya,Nuwara Eliya Central,11,5,5,146,1,TRUE,FALSE,Both,Single phase,1,2022,26759333
Jaffna,Jaffna Town,3,1,1,39,2,FALSE,FALSE,Pipe-borne,Three phase,2,2022,6782675
Matara,Matara Town,32,7,5,250,1,FALSE,FALSE,Both,Three phase,2,2009,40374682
Kandy,Gatambe,2,2,2,35,0,TRUE,TRUE,Both,Three phase,1,2018,4476445
Mullaitivu,Mullaitivu Central,6,3,3,75,0,FALSE,TRUE,Well,Single phase,1,2008,5369040
Jaffna,Nallur,14,6,5,125,3,FALSE,TRUE,Both,Three phase,1,1995,18908542
Matara,Weligama,3,2,1,69,0,TRUE,TRUE,Pipe-borne,Single phase,1,2017,6085721
Ratnapura,Pelmadulla,2,2,2,35,1,TRUE,FALSE,Both,Three phase,1,2021,4272590
Puttalam,Puttalam Central,14,4,3,171,1,FALSE,FALSE,Pipe-borne,Single phase,2,1994,14236712
Monaragala,Monaragala Central,3,2,2,36,0,FALSE,FALSE,Pipe-borne,Single phase,2,2018,3194074
Galle,Unawatuna,2,3,3,42,0,TRUE,TRUE,Pipe-borne,Single phase,2,2004,3827242
Kalutara,Beruwala,17,6,5,187,1,TRUE,FALSE,Well,Single phase,2,1988,22041919
Badulla,Hali Ela,2,4,4,51,2,FALSE,FALSE,Both,Single phase,1,1988,4296828
Mannar,Mannar Central,8,2,1,42,1,TRUE,TRUE,Well,Single phase,2,1986,5973728
Colombo,Narahenpita,7,2,2,82,0,TRUE,TRUE,Both,Three phase,1,2006,16664348
Trincomalee,Uppuveli,11,4,4,141,0,TRUE,TRUE,Well,Three phase,1,2011,16962323
Jaffna,Kokuvil,2,2,2,35,1,TRUE,TRUE,Well,Three phase,1,1992,4148878
Trincomalee,China Bay,15,5,5,171,1,FALSE,TRUE,Well,Three phase,3,2020,24486376
Mannar,Mannar Central,3,3,2,35,0,TRUE,TRUE,Both,Single phase,1,2014,3144588
Colombo,Wellawatte,25,6,5,250,3,FALSE,FALSE,Pipe-borne,Three phase,2,1999,80489987
Ampara,Ampara Central,28,7,5,250,1,FALSE,FALSE,Well,Single phase,3,1991,31875701
Puttalam,Puttalam Central,17,6,5,168,1,TRUE,TRUE,Pipe-borne,Single phase,2,1999,21352420
Badulla,Badulla Town,5,2,2,53,1,TRUE,TRUE,Both,Three phase,1,2009,7631357
Puttalam,Puttalam Central,3,1,1,44,1,FALSE,TRUE,Both,Three phase,1,1998,3474316
Trincomalee,Uppuveli,25,7,5,250,2,FALSE,TRUE,Pipe-borne,Three phase,2,1999,43191992
Polonnaruwa,Polonnaruwa Central,8,1,1,75,0,TRUE,TRUE,Both,Three phase,1,2010,8073683
Monaragala,Monaragala Central,6,3,2,42,3,FALSE,FALSE,Well,Three phase,2,1991,5507376
Mannar,Mannar Central,22,7,5,250,1,FALSE,TRUE,Both,Single phase,2,2011,27852862
Ampara,Ampara Central,7,3,2,67,2,TRUE,TRUE,Both,Single phase,2,2020,11224898
Ratnapura,Kuruwita,8,2,1,128,0,TRUE,TRUE,Pipe-borne,Three phase,1,2008,9507473
Jaffna,Nallur,16,6,5,213,3,FALSE,TRUE,Pipe-borne,Three phase,2,2011,29041395
Vavuniya,Vavuniya Central,8,3,2,76,3,FALSE,TRUE,Both,Three phase,1,2002,9353876
Mullaitivu,Mullaitivu Central,5,3,2,44,1,TRUE,TRUE,Both,Three phase,2,2005,5097632
Kalutara,Beruwala,2,3,3,35,1,FALSE,FALSE,Both,Three phase,1,2022,4749395
Vavuniya,Vavuniya Central,12,5,4,146,0,FALSE,TRUE,Pipe-borne,Single phase,1,2013,12946257
Mullaitivu,Mullaitivu Central,6,3,3,61,0,FALSE,TRUE,Well,Single phase,1,2017,6393975
Puttalam,Puttalam Central,5,1,1,39,0,TRUE,TRUE,Pipe-borne,Single phase,2,2006,5453786
Gampaha,Wattala,14,7,5,114,1,TRUE,TRUE,Pipe-borne,Three phase,1,1986,18662477
Matale,Matale Central,14,6,5,196,3,TRUE,FALSE,Well,Three phase,2,2024,21848788
Anuradhapura,New Town,3,1,1,50,1,FALSE,FALSE,Well,Single phase,1,2015,4263358
Puttalam,Puttalam Central,17,7,5,201,2,TRUE,FALSE,Both,Single phase,2,2014,22415572
Monaragala,Monaragala Central,18,7,5,165,3,TRUE,FALSE,Well,Three phase,1,1992,17503361
Mullaitivu,Mullaitivu Central,2,2,1,35,2,TRUE,FALSE,Well,Single phase,1,1995,2859811
Kilinochchi,Kilinochchi Central,22,5,5,149,2,FALSE,FALSE,Both,Single phase,1,1988,16915807
Mannar,Mannar Central,35,7,5,250,1,FALSE,FALSE,Pipe-borne,Single phase,3,2016,32240510
Kandy,Tennekumbura,9,4,3,65,0,TRUE,TRUE,Pipe-borne,Single phase,2,2003,16842425
Monaragala,Monaragala Central,2,2,1,35,1,TRUE,TRUE,Both,Three phase,1,2017,3775654
Kalutara,Beruwala,27,6,5,220,1,TRUE,FALSE,Pipe-borne,Single phase,2,1997,28443438
Matale,Matale Central,12,4,3,116,0,FALSE,FALSE,Both,Single phase,1,2018,15196827
Kurunegala,Kurunegala Town,9,4,3,78,2,FALSE,TRUE,Pipe-borne,Single phase,1,2012,10702205
Hambantota,Hambantota Town,6,2,1,65,1,TRUE,FALSE,Pipe-borne,Single phase,1,2011,5920878
Kilinochchi,Kilinochchi Central,9,4,3,120,2,FALSE,TRUE,Both,Three phase,2,1995,12322544
Kurunegala,Polgahawela,3,1,1,42,0,TRUE,FALSE,Both,Single phase,2,2019,4200185
Puttalam,Puttalam Central,14,5,5,162,1,TRUE,TRUE,Both,Three phase,1,2011,18665346
Trincomalee,Nilaveli,11,5,5,74,0,FALSE,FALSE,Both,Single phase,1,2010,13396245
Kilinochchi,Kilinochchi Central,6,2,1,65,0,TRUE,FALSE,Both,Single phase,1,2011,4604110
Kandy,Tennekumbura,18,4,3,247,2,FALSE,TRUE,Both,Single phase,2,2004,37204056
Badulla,Bandarawela,17,7,5,151,1,FALSE,TRUE,Well,Three phase,1,2003,17999601
Gampaha,Ragama,11,2,2,102,1,TRUE,TRUE,Pipe-borne,Single phase,1,2014,20980064
Badulla,Hali Ela,14,5,4,141,3,FALSE,FALSE,Both,Three phase,1,1990,19418328
Mullaitivu,Mullaitivu Central,13,5,4,85,3,TRUE,FALSE,Both,Single phase,1,2011,9647348
Trincomalee,China Bay,14,5,4,183,2,TRUE,FALSE,Pipe-borne,Single phase,2,2021,26131473
Ampara,Ampara Central,27,5,5,169,2,FALSE,TRUE,Both,Three phase,3,2021,29395689
Jaffna,Chunnakam,5,2,1,39,1,FALSE,TRUE,Pipe-borne,Three phase,1,1990,5320484
Badulla,Bandarawela,5,3,3,41,1,FALSE,TRUE,Both,Three phase,1,2014,7490044
Ampara,Ampara Central,9,4,3,85,1,FALSE,FALSE,Pipe-borne,Three phase,1,1990,10383576
Colombo,Wellawatte,25,5,5,226,2,TRUE,FALSE,Pipe-borne,Three phase,2,1991,68871861
Kilinochchi,Kilinochchi Central,24,7,5,182,1,FALSE,FALSE,Pipe-borne,Three phase,2,2019,22206805
Galle,Galle Fort,14,7,5,164,1,TRUE,TRUE,Well,Three phase,1,2013,27733673
Vavuniya,Vavuniya Central,6,2,2,84,0,TRUE,FALSE,Both,Single phase,1,1985,6104659
Kilinochchi,Kilinochchi Central,17,5,5,158,3,FALSE,FALSE,Pipe-borne,Three phase,1,2010,14424156
Anuradhapura,Nuwaragam Palatha,9,2,1,92,0,TRUE,FALSE,Well,Single phase,2,2000,8070609
Badulla,Bandarawela,41,5,4,250,1,TRUE,TRUE,Well,Single phase,2,2007,54078869
Matale,Matale Central,19,6,5,189,1,TRUE,FALSE,Pipe-borne,Three phase,3,1986,25504536
Monaragala,Monaragala Central,17,6,5,171,2,TRUE,TRUE,Well,Three phase,1,2018,16332071
Kalutara,Beruwala,5,2,2,35,0,FALSE,FALSE,Well,Single phase,1,2020,7214458
Monaragala,Monaragala Central,4,1,1,35,0,TRUE,FALSE,Both,Three phase,1,1987,3018523
Trincomalee,China Bay,9,3,3,85,2,FALSE,FALSE,Well,Single phase,1,2020,11998590
Colombo,Nugegoda,26,7,5,250,2,FALSE,TRUE,Both,Three phase,2,2011,80907672
Monaragala,Monaragala Central,4,3,2,45,0,FALSE,FALSE,Well,Single phase,1,1987,4134397
Nuwara Eliya,Nuwara Eliya Central,22,6,5,150,1,TRUE,TRUE,Well,Three phase,1,2014,36497857
Matale,Matale Central,5,2,1,64,1,FALSE,FALSE,Well,Three phase,1,2005,6117610
Matale,Matale Central,12,3,3,77,3,FALSE,FALSE,Well,Single phase,1,2003,12211514
Hambantota,Hambantota Town,26,4,3,250,1,TRUE,FALSE,Pipe-borne,Three phase,2,2008,27124692
Mullaitivu,Mullaitivu Central,15,6,5,160,1,FALSE,TRUE,Both,Three phase,2,2020,14647680
Gampaha,Wattala,16,6,5,191,3,TRUE,TRUE,Both,Single phase,2,1998,33967355
Hambantota,Ambalantota,3,2,1,35,1,TRUE,FALSE,Well,Single phase,1,1988,3487670
Kurunegala,Melsiripura,8,2,2,64,1,FALSE,TRUE,Pipe-borne,Three phase,2,1991,9391082
Gampaha,Negombo,16,7,5,136,2,TRUE,FALSE,Pipe-borne,Three phase,1,2007,27507580
Polonnaruwa,Polonnaruwa Central,6,3,2,35,1,TRUE,FALSE,Pipe-borne,Three phase,1,1989,4658784
Matale,Matale Central,2,3,3,36,0,FALSE,FALSE,Well,Single phase,1,1986,2651196
Galle,Hikkaduwa,11,4,4,77,1,FALSE,TRUE,Pipe-borne,Three phase,2,2001,16455360
Anuradhapura,Madawachchiya,2,2,1,51,0,TRUE,FALSE,Pipe-borne,Single phase,2,2017,4031039
Batticaloa,Eravur,2,1,1,54,1,TRUE,TRUE,Well,Three phase,1,2025,3668110
Polonnaruwa,Polonnaruwa Central,13,4,3,134,2,FALSE,FALSE,Well,Single phase,2,1988,13321796
Kurunegala,Polgahawela,11,6,5,127,1,FALSE,FALSE,Well,Three phase,1,2018,15827360
Monaragala,Monaragala Central,3,2,1,37,1,TRUE,FALSE,Well,Single phase,2,1997,3635934
Vavuniya,Vavuniya Central,10,3,2,116,1,TRUE,FALSE,Pipe-borne,Three phase,1,2019,13669264
Polonnaruwa,Polonnaruwa Central,16,5,5,156,1,TRUE,TRUE,Both,Single phase,2,2007,19648373
Ratnapura,Pelmadulla,37,6,5,250,1,TRUE,TRUE,Well,Three phase,2,1996,49957552
Matara,Akurugoda,19,6,5,181,3,FALSE,TRUE,Pipe-borne,Single phase,2,2025,25330586
Monaragala,Monaragala Central,9,4,4,85,0,TRUE,FALSE,Both,Three phase,1,1995,7223215
Ampara,Ampara Central,9,4,3,83,0,TRUE,FALSE,Well,Three phase,2,1999,8023503
Nuwara Eliya,Nuwara Eliya Central,3,1,1,74,0,FALSE,TRUE,Both,Three phase,1,2007,7477347
Hambantota,Tangalle,26,6,5,216,2,TRUE,FALSE,Both,Single phase,2,2021,25561613
Mannar,Mannar Central,2,2,1,35,0,FALSE,TRUE,Both,Single phase,1,1987,2632130
Monaragala,Monaragala Central,15,7,5,108,3,TRUE,FALSE,Both,Three phase,2,2002,14007933
Polonnaruwa,Polonnaruwa Central,19,7,5,148,1,TRUE,TRUE,Pipe-borne,Three phase,2,1989,16309787
Ratnapura,Kuruwita,22,7,5,183,1,TRUE,TRUE,Both,Three phase,2,2017,32385442
Trincomalee,China Bay,15,5,5,150,2,TRUE,FALSE,Both,Single phase,1,1996,19280610
Kilinochchi,Kilinochchi Central,25,6,5,250,1,FALSE,TRUE,Well,Three phase,2,1985,25417300
Hambantota,Tangalle,14,5,5,199,2,TRUE,FALSE,Pipe-borne,Three phase,3,2005,15959712
Gampaha,Negombo,3,1,1,35,1,FALSE,FALSE,Both,Three phase,1,2022,5389260
Hambantota,Hambantota Town,24,7,5,250,2,FALSE,FALSE,Well,Single phase,3,2005,31587536
Batticaloa,Kallady,15,5,4,200,2,FALSE,FALSE,Well,Single phase,2,2001,20757959
Kandy,Tennekumbura,2,2,2,35,0,FALSE,FALSE,Pipe-borne,Single phase,1,2022,5583439
Galle,Hikkaduwa,7,3,2,41,0,TRUE,TRUE,Both,Single phase,1,2022,7999625
Puttalam,Puttalam Central,11,4,3,127,1,TRUE,FALSE,Well,Single phase,2,2025,18599557
Colombo,Dehiwala,10,4,3,62,1,TRUE,FALSE,Well,Single phase,1,2016,20015206
Monaragala,Monaragala Central,19,4,3,159,2,FALSE,TRUE,Pipe-borne,Single phase,1,2006,17428040
Colombo,Narahenpita,40,6,5,250,3,FALSE,TRUE,Both,Three phase,2,2008,132837426
Vavuniya,Vavuniya Central,18,5,4,250,2,TRUE,FALSE,Well,Three phase,3,1994,25653848
Mannar,Mannar Central,5,2,2,35,0,FALSE,TRUE,Pipe-borne,Single phase,1,1993,4862924
Matara,Akurugoda,23,6,5,242,1,TRUE,FALSE,Both,Single phase,2,2023,27581687
Kalutara,Panadura,33,6,5,245,1,TRUE,FALSE,Pipe-borne,Three phase,3,1998,37315460
Polonnaruwa,Polonnaruwa Central,9,5,4,111,0,TRUE,TRUE,Pipe-borne,Three phase,1,2009,12348666
Kilinochchi,Kilinochchi Central,12,4,3,146,2,TRUE,FALSE,Well,Single phase,1,2007,15247113
Kegalle,Kegalle Central,17,6,5,196,1,FALSE,FALSE,Well,Three phase,2,2022,19983597
Kilinochchi,Kilinochchi Central,8,2,1,119,0,TRUE,TRUE,Well,Three phase,1,2001,7681127
Monaragala,Monaragala Central,22,7,5,250,2,TRUE,FALSE,Both,Three phase,2,2004,25296022
Hambantota,Hambantota Town,17,6,5,163,1,FALSE,TRUE,Both,Three phase,1,1993,14628818
Jaffna,Nallur,4,1,1,48,3,TRUE,TRUE,Both,Single phase,1,2017,9637017
Colombo,Rajagiriya,23,7,5,250,3,TRUE,TRUE,Well,Three phase,3,1986,73458846
Puttalam,Puttalam Central,5,2,1,35,0,TRUE,FALSE,Pipe-borne,Single phase,1,2001,3140257
Anuradhapura,New Town,19,6,5,235,2,TRUE,FALSE,Both,Single phase,3,1996,24349031
Mullaitivu,Mullaitivu Central,19,6,5,179,1,TRUE,TRUE,Well,Three phase,3,2023,21642779
Ratnapura,Pelmadulla,19,7,5,192,2,TRUE,TRUE,Pipe-borne,Single phase,2,2006,21952894
Anuradhapura,Nuwaragam Palatha,15,6,5,200,1,FALSE,FALSE,Both,Single phase,3,1987,15935797
Mullaitivu,Mullaitivu Central,18,6,5,243,1,FALSE,FALSE,Both,Three phase,2,1991,17080048
Kalutara,Wadduwa,4,3,3,35,0,FALSE,TRUE,Both,Three phase,2,1987,5151259
Mannar,Mannar Central,3,2,1,35,2,FALSE,TRUE,Both,Three phase,2,2025,5137056
Colombo,Mount Lavinia,3,3,3,35,1,TRUE,FALSE,Well,Single phase,2,2015,11671240
Monaragala,Monaragala Central,12,6,5,86,0,FALSE,FALSE,Both,Single phase,1,2025,9737972
Colombo,Wellawatte,3,1,1,45,0,FALSE,FALSE,Both,Single phase,2,2010,11221477
Mannar,Mannar Central,12,6,5,171,1,FALSE,FALSE,Pipe-borne,Three phase,2,1999,12458740
Trincomalee,Nilaveli,10,5,4,96,2,TRUE,FALSE,Well,Three phase,1,2003,14625760
Batticaloa,Eravur,6,2,1,90,2,TRUE,TRUE,Both,Single phase,1,1991,10453750
Jaffna,Jaffna Town,5,2,1,86,0,TRUE,TRUE,Well,Single phase,1,2003,7968544
Badulla,Hali Ela,10,3,2,69,2,FALSE,FALSE,Pipe-borne,Single phase,1,1996,9571322
Monaragala,Monaragala Central,13,5,4,157,1,FALSE,FALSE,Pipe-borne,Three phase,2,2006,17340881
Nuwara Eliya,Nuwara Eliya Central,2,4,4,67,1,FALSE,TRUE,Pipe-borne,Three phase,1,2015,7125954
Puttalam,Puttalam Central,2,2,1,52,0,FALSE,FALSE,Both,Three phase,2,2001,2310815
Ratnapura,Kuruwita,35,7,5,250,3,TRUE,FALSE,Well,Single phase,2,2024,48758185
Mannar,Mannar Central,7,2,1,77,3,TRUE,FALSE,Well,Three phase,2,2006,7062034
Kegalle,Kegalle Central,3,1,1,35,0,TRUE,FALSE,Both,Single phase,2,2015,3690874
Mannar,Mannar Central,15,7,5,136,2,TRUE,FALSE,Both,Single phase,1,1986,13040816
Gampaha,Negombo,35,5,4,250,1,FALSE,FALSE,Well,Three phase,2,1989,59667461
Hambantota,Hambantota Town,19,6,5,205,2,FALSE,FALSE,Well,Single phase,2,2001,16318419
Ampara,Ampara Central,4,1,1,41,1,TRUE,FALSE,Both,Three phase,1,2010,4736395
Hambantota,Hambantota Town,21,5,4,250,1,FALSE,FALSE,Pipe-borne,Single phase,2,2016,27858337
Monaragala,Monaragala Central,2,2,1,43,1,FALSE,TRUE,Well,Single phase,1,1995,3031328
Mullaitivu,Mullaitivu Central,22,6,5,181,2,TRUE,FALSE,Both,Three phase,1,2009,14363215
Ampara,Ampara Central,2,2,1,64,0,FALSE,FALSE,Pipe-borne,Single phase,1,2023,3078267
Kandy,Tennekumbura,3,3,2,50,0,TRUE,TRUE,Well,Single phase,1,2020,5847385
Kandy,Peradeniya,33,5,5,250,3,TRUE,TRUE,Pipe-borne,Single phase,2,1989,67705797
Gampaha,Gampaha Town,19,6,5,227,3,FALSE,TRUE,Pipe-borne,Single phase,2,2005,36476342
Matale,Matale Central,3,3,3,35,3,TRUE,FALSE,Pipe-borne,Single phase,1,1985,4342176
Puttalam,Puttalam Central,12,5,5,152,1,TRUE,FALSE,Well,Three phase,2,1985,17094139
Monaragala,Monaragala Central,10,5,5,120,0,FALSE,FALSE,Both,Three phase,1,1996,10674433
Monaragala,Monaragala Central,2,2,1,35,1,FALSE,FALSE,Well,Single phase,1,2004,2600898
Trincomalee,Nilaveli,4,2,1,53,2,TRUE,FALSE,Both,Single phase,1,2008,6334057
Mannar,Mannar Central,12,5,5,141,1,TRUE,FALSE,Pipe-borne,Three phase,1,2013,12797701
Mullaitivu,Mullaitivu Central,17,6,5,188,3,TRUE,TRUE,Both,Single phase,1,2021,19653942
Galle,Karapitiya,9,4,4,94,3,TRUE,TRUE,Well,Single phase,1,2023,19780925
Kegalle,Kegalle Central,15,6,5,164,2,TRUE,TRUE,Pipe-borne,Single phase,1,1986,18333347
Mannar,Mannar Central,2,1,1,38,0,FALSE,TRUE,Well,Single phase,1,2011,3304149
Jaffna,Kokuvil,30,5,5,250,1,FALSE,FALSE,Both,Three phase,2,2025,45157969
Hambantota,Ambalantota,5,1,1,78,1,FALSE,FALSE,Well,Three phase,2,1995,4800322
Mullaitivu,Mullaitivu Central,15,7,5,155,2,FALSE,FALSE,Pipe-borne,Three phase,1,2006,13995429
Ratnapura,Kuruwita,2,2,1,35,1,FALSE,FALSE,Both,Single phase,2,2025,3782890
Hambantota,Tangalle,27,7,5,250,2,TRUE,TRUE,Both,Single phase,2,2025,36050966
Jaffna,Kokuvil,10,4,3,101,1,TRUE,FALSE,Well,Three phase,1,1997,13052917
Jaffna,Jaffna Town,4,5,5,35,2,TRUE,TRUE,Both,Single phase,1,2021,6376664
Kilinochchi,Kilinochchi Central,31,6,5,250,1,TRUE,TRUE,Pipe-borne,Three phase,3,2001,36571431
Gampaha,Wattala,10,5,4,113,2,TRUE,FALSE,Both,Three phase,2,2001,21010897
Kalutara,Wadduwa,7,3,3,52,1,FALSE,TRUE,Well,Single phase,1,1987,9425921
Nuwara Eliya,Nuwara Eliya Central,14,6,5,86,1,FALSE,TRUE,Both,Three phase,1,2018,25444192
Kandy,Peradeniya,8,2,1,79,2,FALSE,FALSE,Both,Three phase,1,2002,12150609
Colombo,Nugegoda,24,5,5,190,2,FALSE,TRUE,Well,Single phase,2,2018,61383197
Batticaloa,Batticaloa Town,12,5,4,89,2,FALSE,TRUE,Well,Single phase,1,2000,12566589
Kilinochchi,Kilinochchi Central,3,4,4,47,1,FALSE,TRUE,Pipe-borne,Three phase,1,2016,3521143
Badulla,Hali Ela,2,2,2,35,0,TRUE,FALSE,Both,Single phase,2,1986,2863184
Monaragala,Monaragala Central,18,7,5,113,3,TRUE,FALSE,Pipe-borne,Three phase,2,2010,14621922
Kalutara,Kalutara North,11,4,3,129,3,FALSE,FALSE,Well,Single phase,2,2023,16398919
Batticaloa,Eravur,20,7,5,140,2,TRUE,FALSE,Both,Three phase,1,2022,23664316
Colombo,Dehiwala,20,7,5,213,3,TRUE,TRUE,Both,Single phase,3,2002,70780554
Kilinochchi,Kilinochchi Central,12,5,4,127,0,FALSE,FALSE,Both,Single phase,1,1996,8450333
Polonnaruwa,Polonnaruwa Central,9,2,2,100,0,FALSE,FALSE,Both,Three phase,1,1990,8689363
Batticaloa,Eravur,21,7,5,193,1,FALSE,FALSE,Pipe-borne,Single phase,2,2012,19312833
Monaragala,Monaragala Central,8,4,3,90,1,FALSE,FALSE,Pipe-borne,Single phase,2,2004,9901877
Monaragala,Monaragala Central,10,4,3,144,1,FALSE,FALSE,Well,Single phase,1,2021,13376483
Colombo,Bambalapitiya,14,5,4,115,3,FALSE,FALSE,Both,Single phase,1,2018,40276623
Kegalle,Kegalle Central,2,4,3,35,0,TRUE,FALSE,Both,Single phase,1,2016,3435088
Hambantota,Tangalle,15,6,5,189,2,FALSE,FALSE,Well,Single phase,2,2003,14199337
Gampaha,Kadawatha,2,3,3,42,1,TRUE,TRUE,Pipe-borne,Single phase,1,2002,4758533
Kurunegala,Pannala,32,6,5,240,1,FALSE,TRUE,Well,Single phase,3,1990,37451018
Kilinochchi,Kilinochchi Central,9,4,4,111,1,FALSE,FALSE,Pipe-borne,Three phase,2,2003,9069204
Mannar,Mannar Central,7,3,2,68,1,FALSE,FALSE,Pipe-borne,Three phase,1,2021,6374654
Gampaha,Negombo,5,1,1,41,0,TRUE,FALSE,Pipe-borne,Single phase,1,1999,6589930
Colombo,Bambalapitiya,12,7,5,120,0,TRUE,TRUE,Both,Single phase,2,2023,39194314
Kurunegala,Polgahawela,15,6,5,132,2,TRUE,FALSE,Pipe-borne,Three phase,2,2011,20977472
Kegalle,Kegalle Central,8,3,3,109,1,FALSE,FALSE,Both,Three phase,1,2018,12982907
Badulla,Badulla Town,17,6,5,155,2,TRUE,TRUE,Well,Single phase,2,1989,22494859
Jaffna,Chunnakam,22,4,3,250,2,FALSE,TRUE,Pipe-borne,Single phase,2,2015,42482436
Colombo,Bambalapitiya,10,5,4,67,0,FALSE,FALSE,Pipe-borne,Single phase,1,2010,19626044
Kilinochchi,Kilinochchi Central,4,1,1,62,1,TRUE,TRUE,Both,Three phase,1,2017,5528592
Kalutara,Beruwala,6,3,3,74,1,FALSE,FALSE,Pipe-borne,Three phase,2,1985,8789711
Matale,Matale Central,7,3,2,66,2,TRUE,FALSE,Well,Three phase,1,2007,8179171
Hambantota,Hambantota Town,14,5,4,160,2,FALSE,FALSE,Both,Single phase,1,2004,15115544
Puttalam,Puttalam Central,14,5,4,121,2,TRUE,FALSE,Well,Three phase,1,1989,13062652
Kandy,Peradeniya,16,6,5,158,1,TRUE,TRUE,Well,Single phase,1,1988,24247112
Mullaitivu,Mullaitivu Central,6,3,2,57,1,FALSE,FALSE,Well,Three phase,1,1999,4516219
Hambantota,Hambantota Town,10,3,2,86,2,FALSE,FALSE,Well,Single phase,2,2008,10436047
Vavuniya,Vavuniya Central,9,4,4,79,1,TRUE,FALSE,Well,Single phase,1,1989,7329922
Badulla,Bandarawela,25,6,5,223,2,TRUE,TRUE,Pipe-borne,Three phase,2,2010,31474868
Kurunegala,Polgahawela,25,6,5,242,2,TRUE,FALSE,Both,Single phase,2,1986,25173774
Nuwara Eliya,Nuwara Eliya Central,10,4,3,101,0,TRUE,TRUE,Pipe-borne,Single phase,1,2013,18907550
Matara,Nupe,11,4,4,120,0,FALSE,FALSE,Well,Single phase,1,1996,10154247
Matale,Matale Central,7,4,3,58,1,TRUE,FALSE,Both,Single phase,1,2023,8656661
Hambantota,Tangalle,10,4,4,90,0,TRUE,FALSE,Well,Single phase,2,2006,7974247
Batticaloa,Kallady,11,3,2,94,0,FALSE,FALSE,Pipe-borne,Single phase,2,2004,12016122
Monaragala,Monaragala Central,11,3,3,134,2,FALSE,TRUE,Pipe-borne,Single phase,2,2019,15219122
Polonnaruwa,Polonnaruwa Central,12,3,3,106,1,FALSE,TRUE,Both,Single phase,2,1991,10471016
Puttalam,Puttalam Central,23,5,5,131,2,FALSE,FALSE,Both,Three phase,2,1998,19516968
Kandy,Gatambe,4,2,1,45,0,FALSE,FALSE,Well,Three phase,1,2000,8794951
Kurunegala,Pannala,5,1,1,45,3,FALSE,FALSE,Both,Single phase,2,1999,5460823
Puttalam,Puttalam Central,10,3,3,125,2,TRUE,TRUE,Pipe-borne,Three phase,2,2013,17249279
Monaragala,Monaragala Central,31,4,4,250,2,FALSE,FALSE,Both,Single phase,3,1992,24456890
Gampaha,Ragama,5,2,1,35,0,TRUE,FALSE,Pipe-borne,Single phase,1,2006,7439570
Kurunegala,Polgahawela,6,4,3,35,1,TRUE,TRUE,Well,Three phase,1,2018,6397096
Trincomalee,Nilaveli,2,3,3,35,0,FALSE,FALSE,Pipe-borne,Single phase,1,2018,2912323
Kandy,Tennekumbura,13,5,5,120,1,TRUE,TRUE,Both,Three phase,2,2009,27117590
Colombo,Borella,25,6,5,250,2,FALSE,TRUE,Well,Three phase,3,2013,83715087
Matale,Matale Central,2,2,1,40,1,TRUE,FALSE,Well,Single phase,1,1995,3092006
Kalutara,Wadduwa,10,6,5,118,1,FALSE,TRUE,Pipe-borne,Single phase,2,2024,19972840
Matale,Matale Central,3,1,1,50,2,TRUE,FALSE,Pipe-borne,Single phase,1,2022,4925022
Colombo,Dehiwala,16,6,5,104,1,TRUE,FALSE,Both,Single phase,1,2006,31119051
Gampaha,Gampaha Town,8,3,3,93,3,FALSE,TRUE,Well,Three phase,1,2023,15414889
Monaragala,Monaragala Central,3,2,2,35,0,FALSE,FALSE,Well,Single phase,1,2004,2626993
Batticaloa,Eravur,7,4,4,53,0,FALSE,FALSE,Well,Single phase,1,2013,6591212
Mannar,Mannar Central,6,2,1,88,0,FALSE,TRUE,Well,Single phase,2,2007,5715764
Kilinochchi,Kilinochchi Central,16,7,5,141,2,FALSE,FALSE,Pipe-borne,Single phase,2,2006,14946464
Badulla,Badulla Town,30,6,5,233,3,FALSE,FALSE,Both,Single phase,2,1986,24297983
Batticaloa,Eravur,3,1,1,66,0,TRUE,TRUE,Both,Single phase,2,1995,3992338
Kurunegala,Melsiripura,20,4,4,213,1,FALSE,FALSE,Well,Single phase,3,1996,25226453
Nuwara Eliya,Nuwara Eliya Central,9,3,2,111,0,TRUE,TRUE,Both,Single phase,1,2009,22917138
Jaffna,Jaffna Town,11,4,3,96,2,TRUE,FALSE,Well,Single phase,2,2003,13990022
Ratnapura,Pelmadulla,21,5,5,153,1,FALSE,TRUE,Well,Three phase,2,2015,26724639
Ratnapura,Pelmadulla,3,2,2,35,1,FALSE,FALSE,Well,Three phase,1,2010,4315806
